condition,n_events,median_S_us,centre_S_us,score_S,score_S_at_zero,score_D,median_D_us,median_A_us,medD_minus_medA_us,neg_frac_obs,neg_frac_pred_indep,neg_frac_obs_pairs,neg_frac_pred_within,tv_pred_vs_obs,rho_DA,rho_DA_within,recovered_medD_us,recovery_err_us
kafka_n12_feed1#pass,5433,500,500,0.1968,0.9934,0.1607,2050,1500,550,0.00479,0.07531,0.00481,0.0707,0.5069,0.8227,0.8104,2000,-50
kafka_n12_feed10#fail,3456,550,550,0.1019,0.9861,0.2424,2000,1450,550,0.01997,0.08552,0.0201,0.09051,0.4924,0.809,0.8064,2000,0
kafka_n12_feed10#pass,2338,500,500,0.1942,0.9957,0.1652,1950,1450,500,0.00385,0.06852,0.00386,0.07161,0.535,0.8562,0.8507,1950,0
kafka_n12_feed12#pass,5137,500,500,0.1462,0.9922,0.1735,1950,1450,500,0.00448,0.06877,0.0045,0.07087,0.4911,0.8775,0.872,1950,0
kafka_n12_feed3#pass,3267,500,550,0.1785,0.9994,0.1821,2000,1450,550,0.00031,0.06966,0.00031,0.07021,0.5188,0.9053,0.8989,2000,0
kafka_n12_feed4#pass,3944,550,550,0.142,0.9934,0.2076,2000,1450,550,0.00685,0.07323,0.00689,0.07767,0.4405,0.8441,0.8416,2000,0
kafka_n12_feed5#pass,4555,500,550,0.1623,1.0,0.1953,2050,1500,550,0.0,0.0688,0.0,0.06745,0.4805,0.7184,0.7041,2050,0
kafka_n12_feed6#pass,2413,500,500,0.1463,1.0,0.1433,2000,1450,550,0.0,0.06052,0.0,0.06191,0.4901,0.9977,0.9977,1950,-50
kafka_n12_feed7#pass,2444,500,550,0.189,1.0,0.172,2000,1450,550,0.0,0.0674,0.0,0.06907,0.4745,0.8543,0.8477,2000,0
kafka_n12_feed8#fail,4433,500,550,0.1617,0.9811,0.2485,2000,1450,550,0.02594,0.08768,0.02544,0.08973,0.4506,0.8137,0.7985,2000,0
kafka_n12_feed9#pass,3776,500,500,0.1917,0.9936,0.2157,2000,1500,500,0.0053,0.06615,0.00532,0.06971,0.5077,0.8531,0.8517,2000,0
kafka_n1_feed1#pass,15614,450,500,0.2186,0.9947,0.1422,2150,1650,500,0.00301,0.08787,0.00303,0.07665,0.527,0.77,0.76,2150,0
kafka_n2_feed1#pass,5920,350,350,0.1385,0.999,0.133,1750,1300,450,0.00051,0.25224,0.00051,0.25258,0.5549,0.9591,0.9651,1650,-100
kafka_n2_feed2#pass,2769,350,350,0.0892,1.0,0.1978,1600,1200,400,0.0,0.25312,0.0,0.25771,0.5733,0.952,0.9575,1550,-50
kafka_n5_feed1#fail,41039,700,650,0.2627,0.6056,0.4249,2850,2200,650,0.18977,0.33631,0.19332,0.26265,0.4018,0.946,0.6095,2850,0
kafka_n5_feed1#pass,19937,650,700,0.1755,0.9994,0.1242,2650,1900,750,0.0003,0.20271,0.0003,0.06642,0.5567,0.9858,0.5713,2600,-50
kafka_n5_feed2#fail,17928,700,700,0.2521,0.5878,0.4139,2950,2250,700,0.19846,0.34347,0.20131,0.26874,0.3887,0.9133,0.4891,2950,0
kafka_n5_feed2#pass,10871,650,700,0.2286,1.0,0.1713,2650,1850,800,0.0,0.21149,0.0,0.07185,0.5578,0.9964,0.9228,2550,-100
kafka_n5_feed3#fail,32805,700,700,0.2135,0.605,0.4123,2850,2200,650,0.19003,0.33649,0.19325,0.2629,0.4011,0.9195,0.515,2900,50
kafka_n5_feed3#pass,17314,650,700,0.1849,0.999,0.1504,2600,1850,750,0.00052,0.19965,0.00047,0.06228,0.5564,0.9739,0.6096,2550,-50
kafka_n5_feed4#fail,30564,700,700,0.2303,0.6134,0.4177,2900,2200,700,0.18623,0.34025,0.19045,0.26581,0.3997,0.9444,0.6604,2900,0
kafka_n5_feed4#pass,15343,650,700,0.1555,0.9984,0.1696,2700,1900,800,0.00091,0.21539,0.00092,0.06935,0.5599,0.9845,0.5851,2600,-100
kafka_n5_feed5#fail,50801,600,600,0.2363,0.6946,0.3767,2750,2050,700,0.1513,0.32667,0.15306,0.21982,0.4431,0.9504,0.5752,2650,-100
